"munic";"maes_chefes_91";"maes_chefes_00";"maes_chefes_10";"mortalidade_91";"mortalidade_00";"mortalidade_10";"uf"
"Abadia de Goiás ";8,38;20,02;16,46;30,22;25;13,4;"GO"
"Abadia dos Dourados ";11,93;8,04;5,4;27,69;20,51;14,8;"MG"
"Abadiânia ";12,99;15,87;13,72;30,52;29,7;12,6;"GO"
"Abaeté ";12,61;13,36;20,27;29,37;21,59;14;"MG"
"Abaetetuba ";13,11;15,26;19,71;44,63;27,9;19;"PA"
"Abaiara ";10,52;9,39;19,89;64,98;42,98;26,9;"CE"
"Abaíra ";8,68;8,63;10,16;53,91;32,89;28,1;"BA"
"Abaré ";13,81;18,08;37,29;83,43;47,63;22,9;"BA"
"Abatiá ";8,32;12,7;13,3;30,06;28,02;16,2;"PR"
"Abdon Batista ";2,46;2,86;3,54;30,84;28,2;15,4;"SC"
"Abelardo Luz ";15,62;11,6;21,35;24,7;22,4;12,1;"SC"
"Abel Figueiredo ";25,17;14,49;25,2;52,15;35,75;18,35;"PA"
"Abre Campo ";5,64;9,98;10,04;36,29;29,33;16,3;"MG"
"Abreu E Lima ";19,95;18,8;17,43;52,23;45,63;20,1;"PE"
"Abreulândia ";17,82;3,28;20,06;58,25;34,34;13,7;"TO"
"Acaiaca ";8,91;25,41;16,64;44,53;33,65;16,3;"MG"
"Açailândia ";15,48;19,19;22,21;82,36;38,58;23,2;"MA"
"Acajutiba ";14,74;27,64;40,97;100,82;58,09;32,6;"BA"
"Acará ";10,83;12,47;32,49;53,64;34,67;25,6;"PA"
"Acarape ";14,62;18,6;33,09;84,1;60,34;34,4;"CE"
"Acaraú ";14,54;17,06;33,92;85,05;50,54;25,1;"CE"
"Acari ";9,52;12,03;10,9;52,08;36,7;21,7;"RN"
"Acauã ";14,25;9,2;13,57;100,47;67,09;39,8;"PI"
"Aceguá ";10,63;10,93;15,36;19,31;16;12;"RS"
"Acopiara ";10,07;9,06;19,99;91,68;59,08;31,5;"CE"
"Acorizal ";10,23;4,05;7,23;26,56;26,3;17;"MT"
"Acrelândia ";24,96;18,64;17,13;39,43;25,65;18,3;"AC"
"Acreúna ";12,63;14,81;19,22;30,21;22,7;14,2;"GO"
"Açucena ";10,89;21,02;18,18;38,7;27,39;14,3;"MG"
"Açu ";10,62;18,68;17,91;64,34;40,24;21,19;"RN"
"Adamantina ";7,51;6,06;4,1;25,88;16,8;12;"SP"
"Adelândia ";1,41;7,66;18,17;33,83;32,5;13;"GO"
"Adolfo ";3,05;2,02;10,74;22,84;17,7;13,8;"SP"
"Adrianópolis ";18,17;13,48;17,3;41,51;27,3;14;"PR"
"Adustina ";18,38;17,14;31,34;108,36;61,33;33,7;"BA"
"Afogados da Ingazeira ";13,03;16,36;19,9;52,23;42,39;17,8;"PE"
"Afonso Bezerra ";13,18;11,48;18,78;74,29;48,17;33,9;"RN"
"Afonso Cláudio ";11,05;10,77;12,52;38,17;25,23;14,8;"ES"
"Afonso Cunha ";23,04;13,55;50,55;96,05;58,54;34,4;"MA"
"Afrânio ";10,03;14,04;32,96;55,91;52,58;24,9;"PE"
"Afuá ";15,96;19,53;43,83;53,17;35,37;22,8;"PA"
"Agrestina ";14,77;18,65;34,58;81,21;60,72;25,3;"PE"
"Agricolândia ";15,23;14,06;24,77;59,99;41,21;29,3;"PI"
"Agrolândia ";3,49;5,56;13,92;29,32;26,7;14,1;"SC"
"Agronômica ";7,87;2,47;23,81;23,07;20,7;9,7;"SC"
"Água Azul do Norte ";4,12;15,65;16,83;68,62;42,16;19,1;"PA"
"Água Boa ";18,88;14,32;30,76;38,4;38,02;18,7;"MG"
"Água Boa ";13,68;10,01;12,96;32,79;27,9;15,8;"MT"
"Água Branca ";15,45;14,21;40,81;65,68;41,94;33,8;"AL"
"Água Branca ";17,53;20,78;28,02;102,39;55,93;34,9;"PB"
"Água Branca ";14,76;16,55;26,58;69;39,85;25,5;"PI"
"Água Clara ";2,84;9,71;26,17;31,82;22,06;18,8;"MS"
"Água Comprida ";NA;1,26;17,07;22,88;17,3;13;"MG"
"Água Doce do Maranhão ";17,26;24,74;50,9;86,5;63,41;40,6;"MA"
"Água Doce do Norte ";5,87;10,25;18,66;49,05;28,72;15,3;"ES"
"Água Doce ";12,63;12,3;15,75;30,69;22;14,7;"SC"
"Água Fria ";36,02;38,7;35,12;88,31;50,89;28;"BA"
"Água Fria de Goiás ";30,89;14,31;18,69;35,39;28;14,6;"GO"
"Aguaí ";12,24;11,66;12,32;27,87;17,8;12,5;"SP"
"Água Limpa ";2,45;6,88;7,46;30,42;25,8;14,2;"GO"
"Aguanil ";6,3;0,54;11,49;31,8;20,68;14,3;"MG"
"Água Nova ";13,71;19,88;15,34;85,47;53,71;22,2;"RN"
"Água Preta ";19,98;17,87;19,96;78,26;55,24;25;"PE"
"Água Santa ";0,73;1,07;5,27;18,85;13,2;11,4;"RS"
"Águas Belas ";17,3;25,02;39,34;99,1;85,29;39;"PE"
"Águas da Prata ";7,13;5,02;19,54;19,39;17,1;9,6;"SP"
"Águas de Chapecó ";6,12;4,16;13,08;30,41;23,6;15,5;"SC"
"Águas de Lindóia ";3,99;15,07;13,21;22,11;13,8;12,5;"SP"
"Águas de Santa Bárbara ";3,19;7,48;11,81;24,19;14,8;13;"SP"
"Águas de São Pedro ";7,01;1,9;7,7;18,03;11,4;9,3;"SP"
"Águas Formosas ";13,24;16,62;15,8;46,9;36,29;17,5;"MG"
"Águas Frias ";3,03;5,14;7,74;26,59;25,3;11,4;"SC"
"Águas Lindas de Goiás ";9,61;23,49;26,21;28,68;24,66;11,62;"GO"
"Águas Mornas ";6,09;8,02;21,11;21,05;20,1;12;"SC"
"Águas Vermelhas ";10,06;16,02;33,92;55,03;38,14;17,8;"MG"
"Agudo ";6,31;8,51;14,75;22,41;16,7;12,4;"RS"
"Agudos do Sul ";10,03;5,38;28,35;45,11;33,81;16,4;"PR"
"Agudos ";9,05;13,39;16,41;28,06;20,4;13,7;"SP"
"Águia Branca ";7,17;4,03;11,07;56,56;33,5;17,7;"ES"
"Aguiarnópolis ";23,79;18,82;58,09;72,59;43,81;18;"TO"
"Aguiar ";16,78;9,16;17,18;90,38;52,82;26,9;"PB"
"Aimorés ";13,83;7,34;12,89;36,09;22,95;17,6;"MG"
"Aiquara ";18,95;29,43;17,49;75,41;50,83;30,6;"BA"
"Aiuaba ";12;12,33;30,56;72,39;64,71;26,6;"CE"
"Aiuruoca ";12,71;14,01;14,67;32,79;22,38;12,1;"MG"
"Ajuricaba ";8,37;5,89;8,42;23,2;16,7;12,2;"RS"
